#time (s),dt,v (m/s),w (rad/s),uvv,uvw,uwv,uww
4.1,0.1,-0.012810135655333,0.053950713509315,0.003,0,0,0.003
4.2,0.1,-0.018969197543936,-0.082454556206547,0.003,0,0,0.003
4.3,0.1,0.041888041551301,0.092042144752958,0.003,0,0,0.003
4.4,0.1,0.088380721392214,0.078022772472546,0.003,0,0,0.003
4.5,0.1,0.072323003474312,0.029616973343419,0.003,0,0,0.003
4.6,0.1,-0.00089217945188,0.00805745656303,0.003,0,0,0.003
4.7,0.1,0.124206340811312,-0.008992055372507,0.003,0,0,0.003
4.8,0.1,0.021909984164113,-0.004386912665505,0.003,0,0,0.003
4.9,0.1,0.046204591902265,-0.047959419796516,0.003,0,0,0.003
5,0.1,0.02625486841778,0.015040283050147,0.003,0,0,0.003
5.1,0.1,0.044100591384555,-0.124552090134814,0.003,0,0,0.003
5.2,0.1,0.034792359708203,-0.012830385984108,0.003,0,0,0.003
5.3,0.1,0.117238873116008,-0.00163953764541,0.003,0,0,0.003
5.4,0.1,0.137840201229543,-0.021017721552946,0.003,0,0,0.003
5.5,0.1,0.060077114704737,-0.064007202757418,0.003,0,0,0.003
5.6,0.1,0.105123332425734,0.070783081295776,0.003,0,0,0.003
5.7,0.1,0.012956751881247,0.091782662289397,0.003,0,0,0.003
5.8,0.1,-0.027159957860369,-0.00943528838654,0.003,0,0,0.003
5.9,0.1,0.035565708660406,0.025047579911895,0.003,0,0,0.003
6,0.1,-0.060111282487889,-0.092454679621977,0.003,0,0,0.003
6.1,0.1,-0.000633692692018,0.067918950874248,0.003,0,0,0.003
6.2,0.1,0.056591966230996,0.053777347396603,0.003,0,0,0.003
6.3,0.1,0.003392199626655,0.070739155362468,0.003,0,0,0.003
6.4,0.1,-0.027456501323154,-0.020803854001261,0.003,0,0,0.003
6.5,0.1,-0.036309167404671,0.008582460033338,0.003,0,0,0.003
6.6,0.1,0.029766554351594,-0.038490261769651,0.003,0,0,0.003
6.7,0.1,0.047413821614978,0.031298247634948,0.003,0,0,0.003
6.8,0.1,-0.007298798530406,0.00203482547242,0.003,0,0,0.003
6.9,0.1,-0.054647537529526,0.001040255365026,0.003,0,0,0.003
7,0.1,0.029569797265171,0.005906570346907,0.003,0,0,0.003
7.1,0.1,0.009924498079625,0.029914752059799,0.003,0,0,0.003
7.2,0.1,0.064104126179757,-0.040844610281848,0.003,0,0,0.003
7.3,0.1,-0.012093293981314,0.006341857471084,0.003,0,0,0.003
7.4,0.1,0.0180863825428,0.010405633651409,0.003,0,0,0.003
7.5,0.1,-0.006034792746976,0.041534193957865,0.003,0,0,0.003
7.6,0.1,0.044059350039854,-0.050426581770777,0.003,0,0,0.003
7.7,0.1,0.025730886552988,0.031428541294842,0.003,0,0,0.003
7.8,0.1,-0.03303953443504,-0.012138192975852,0.003,0,0,0.003
7.9,0.1,-0.01303098822334,0.006717961126101,0.003,0,0,0.003
8,0.1,0.076248940168293,0.052303058211783,0.003,0,0,0.003
8.1,0.1,0.032392689227784,-0.039947428955927,0.003,0,0,0.003
8.2,0.1,0.077499803260336,-0.054362715687177,0.003,0,0,0.003
8.3,0.1,0.015683260039488,0.008302344214863,0.003,0,0,0.003
8.4,0.1,0.08107223373795,-0.000374337204918,0.003,0,0,0.003
8.5,0.1,-0.014516842482397,-0.017999606987682,0.003,0,0,0.003
8.6,0.1,0.057122650416564,-0.004434075204603,0.003,0,0,0.003
8.7,0.1,-0.039495978130581,-0.028640825626191,0.003,0,0,0.003
8.8,0.1,-0.019638915025348,-0.00738081292334,0.003,0,0,0.003
8.9,0.1,0.01173768202003,0.041355595939053,0.003,0,0,0.003
9,0.1,0.042731159211198,0.018198039960138,0.003,0,0,0.003
9.1,0.1,-0.030680352700528,-0.062960592031202,0.003,0,0,0.003
9.2,0.1,0.008727792592529,-0.048901672844605,0.003,0,0,0.003
9.3,0.1,0.036863506794664,0.033524074879459,0.003,0,0,0.003
9.4,0.1,-0.020353456520337,0.025567803290094,0.003,0,0,0.003
9.5,0.1,0.078961642810091,0.035869593999843,0.003,0,0,0.003
9.6,0.1,0.054711614688969,-0.024399776295958,0.003,0,0,0.003
9.7,0.1,0.08356070619618,0.083195515376897,0.003,0,0,0.003
9.8,0.1,-0.074891669301662,0.034680784254501,0.003,0,0,0.003
9.9,0.1,0.025764341317973,0.011152012139491,0.003,0,0,0.003
10,0.1,0.043704779738314,-0.035775565904837,0.003,0,0,0.003
10.1,0.1,-0.062554055292357,-0.069507052191398,0.003,0,0,0.003
10.2,0.1,0.001169089870542,-0.022011868250452,0.003,0,0,0.003
10.3,0.1,-0.086670458716032,-0.043500135460301,0.003,0,0,0.003
10.4,0.1,0.017852269511872,-0.057102767840977,0.003,0,0,0.003
10.5,0.1,0.03646354352403,0.10882541696131,0.003,0,0,0.003
10.6,0.1,0.014831679153483,0.040633445282342,0.003,0,0,0.003
10.7,0.1,0.02767550599751,0.00757607038474,0.003,0,0,0.003
10.8,0.1,0.017833739932417,-0.025895723914591,0.003,0,0,0.003
10.9,0.1,-0.028983231787454,-0.086389150746712,0.003,0,0,0.003
11,0.1,0.031595015694114,0.128213032232523,0.003,0,0,0.003
11.1,0.1,-0.033675204965853,0.012906023198243,0.003,0,0,0.003
11.2,0.1,-0.021207788885998,-0.023293209589122,0.003,0,0,0.003
11.3,0.1,-0.017746573838568,0.031720253641105,0.003,0,0,0.003
11.4,0.1,0.054772638132332,-0.029998142673021,0.003,0,0,0.003
11.5,0.1,0.010149500208563,-0.00308016005406,0.003,0,0,0.003
11.6,0.1,0.070064257716616,-0.034549335347062,0.003,0,0,0.003
11.7,0.1,0.017092256239878,-0.014831854668238,0.003,0,0,0.003
11.8,0.1,0.016583010879316,-0.046269360974309,0.003,0,0,0.003
11.9,0.1,0.046252534569014,0.045716149348996,0.003,0,0,0.003
12,0.1,-0.004840322140009,0.050230856678037,0.003,0,0,0.003
12.1,0.1,0.06304033310425,-0.00909463545763,0.003,0,0,0.003
12.2,0.1,0.056099029587605,0.105058433134867,0.003,0,0,0.003
12.3,0.1,-0.012514361340288,0.064444754744499,0.003,0,0,0.003
12.4,0.1,0.081813062734138,0.025766809508908,0.003,0,0,0.003
12.5,0.1,0.062872070945569,0.055703255940421,0.003,0,0,0.003
12.6,0.1,0.072373291405892,0.006145918768183,0.003,0,0,0.003
12.7,0.1,0.011033485373732,0.013653479685459,0.003,0,0,0.003
12.8,0.1,0.003830521954555,0.115203294061059,0.003,0,0,0.003
12.9,0.1,0.004904641577902,-0.047385376161978,0.003,0,0,0.003
13,0.1,-0.070199035913846,0.091376053703542,0.003,0,0,0.003
13.1,0.1,0.039316881120164,0.099696761450924,0.003,0,0,0.003
13.2,0.1,-0.004016395821926,-0.03708306369459,0.003,0,0,0.003
13.3,0.1,0.094318626467733,0.073306257050595,0.003,0,0,0.003
13.4,0.1,0.131291536733216,-0.025109473108916,0.003,0,0,0.003
13.5,0.1,0.101866488596295,0.0517793734048,0.003,0,0,0.003
13.6,0.1,0.036124248987933,-0.106696284085959,0.003,0,0,0.003
13.7,0.1,0.068002821833008,0.005784970008688,0.003,0,0,0.003
13.8,0.1,-0.010037679527364,-0.005890531616697,0.003,0,0,0.003
13.9,0.1,0.054206696718354,-0.027300952533765,0.003,0,0,0.003
14,0.1,0.010466208788114,0.033349478657316,0.003,0,0,0.003
14.1,0.1,0.050010928429159,-0.054180483285861,0.003,0,0,0.003
14.2,0.1,-0.007176332454715,0.021192269703182,0.003,0,0,0.003
14.3,0.1,-0.015599864723108,-0.032329234002204,0.003,0,0,0.003
14.4,0.1,-0.019087695754558,0.035678428420017,0.003,0,0,0.003
14.5,0.1,0.024201829388941,-0.070660041700528,0.003,0,0,0.003
14.6,0.1,-0.003595097341871,-0.053460006971551,0.003,0,0,0.003
14.7,0.1,-0.06561919613546,0.002413689827702,0.003,0,0,0.003
14.8,0.1,0.109855857547923,-0.020021910751045,0.003,0,0,0.003
14.9,0.1,-0.061180178117141,-0.013363272730228,0.003,0,0,0.003
15,0.1,0.040868746119447,-0.01040919861554,0.003,0,0,0.003
15.1,0.1,-0.066483462164152,-0.02365368491633,0.003,0,0,0.003
15.2,0.1,0.039071682856325,-0.054818596223172,0.003,0,0,0.003
15.3,0.1,0.029564190158968,0.094719494301352,0.003,0,0,0.003
15.4,0.1,-0.001781880589412,-0.019567134607292,0.003,0,0,0.003
15.5,0.1,0.008899498346292,0.009776510125906,0.003,0,0,0.003
15.6,0.1,0.067839190883121,0.043897563848263,0.003,0,0,0.003
15.7,0.1,-0.033790004440036,0.057472501783422,0.003,0,0,0.003
15.8,0.1,0.056283966547773,0.036209150838469,0.003,0,0,0.003
15.9,0.1,0.002640259756222,-0.032290022527553,0.003,0,0,0.003
16,0.1,0.059586886623328,-0.003217665709442,0.003,0,0,0.003
16.1,0.1,-0.017455465720179,-0.022708895860375,0.003,0,0,0.003
16.2,0.1,0.014314127726476,-0.028194120038452,0.003,0,0,0.003
16.3,0.1,-0.00908214795514,0.055664713861228,0.003,0,0,0.003
16.4,0.1,0.027714704735647,0.028902980944421,0.003,0,0,0.003
16.5,0.1,0.014721803122976,0.011844973685216,0.003,0,0,0.003
16.6,0.1,0.00282758051262,0.04760564285134,0.003,0,0,0.003
16.7,0.1,0.021477721291937,-0.009952094697161,0.003,0,0,0.003
16.8,0.1,0.040227159857026,0.023022051043401,0.003,0,0,0.003
16.9,0.1,0.01340655092619,-0.016946299107348,0.003,0,0,0.003
17,0.1,0.05573544802949,0.016396216630693,0.003,0,0,0.003
17.1,0.1,0.010029726224876,-0.007860887824497,0.003,0,0,0.003
17.2,0.1,0.036280025537547,0.056642462112609,0.003,0,0,0.003
17.3,0.1,-0.024577441298457,-0.004673458565394,0.003,0,0,0.003
17.4,0.1,0.038774355042772,-0.036742082443365,0.003,0,0,0.003
17.5,0.1,0.010573361146385,0.016950045616307,0.003,0,0,0.003
17.6,0.1,0.038098161970943,0.032419555043192,0.003,0,0,0.003
17.7,0.1,0.024492321032881,0.020142770108268,0.003,0,0,0.003
17.8,0.1,0.163459826396722,0.086783281042626,0.003,0,0,0.003
17.9,0.1,0.049698180668837,-0.032289368373471,0.003,0,0,0.003
18,0.1,-0.013456430578114,-0.007107116289086,0.003,0,0,0.003
18.1,0.1,-0.003664900392694,-0.077966466689942,0.003,0,0,0.003
18.2,0.1,-0.001511327963218,-0.11377894880892,0.003,0,0,0.003
18.3,0.1,0.098390269708318,0.012744603206959,0.003,0,0,0.003
18.4,0.1,0.06449384897661,-0.007402998869553,0.003,0,0,0.003
18.5,0.1,0.037732335749138,0.0219430736045,0.003,0,0,0.003
18.6,0.1,0.048903091641317,0.017188194238276,0.003,0,0,0.003
18.7,0.1,0.008106541295581,-0.050474479485146,0.003,0,0,0.003
18.8,0.1,0.00560611963805,-0.041431882704201,0.003,0,0,0.003
18.9,0.1,-0.022070609915823,0.053471029938997,0.003,0,0,0.003
19,0.1,-0.059928500676154,0.057762858749998,0.003,0,0,0.003
19.1,0.1,-0.051625828891422,-0.010004926375364,0.003,0,0,0.003
19.2,0.1,-0.052199948807671,-0.093365820785683,0.003,0,0,0.003
19.3,0.1,0.03908514804729,-0.058989222215696,0.003,0,0,0.003
19.4,0.1,0.095254797774291,-0.051424392970693,0.003,0,0,0.003
19.5,0.1,0.009824071668367,0.107418240700522,0.003,0,0,0.003
19.6,0.1,0.007682516455221,-0.02284896538753,0.003,0,0,0.003
19.7,0.1,0.045491788527708,-0.032940364249191,0.003,0,0,0.003
19.8,0.1,0.088329728597334,-0.014992450828548,0.003,0,0,0.003
19.9,0.1,0.097615234863713,-0.041024465773848,0.003,0,0,0.003
20,0.1,0.0040347365655,-0.055564711635104,0.003,0,0,0.003
20.1,0.1,0.113717330117533,-0.01181828277111,0.003,0,0,0.003
20.2,0.1,0.061140976855993,0.042575080784539,0.003,0,0,0.003
20.3,0.1,0.021194401814655,0.041192456724367,0.003,0,0,0.003
20.4,0.1,0.079431888668897,0.067441805110961,0.003,0,0,0.003
20.5,0.1,0.0083191729505,0.015599139283506,0.003,0,0,0.003
20.6,0.1,0.051241349913751,-0.013065435889049,0.003,0,0,0.003
20.7,0.1,0.032327526524166,-0.112297458291959,0.003,0,0,0.003
20.8,0.1,0.046235092285967,-0.058028488516627,0.003,0,0,0.003
20.9,0.1,-0.011963014351006,0.042948286614824,0.003,0,0,0.003
21,0.1,0.026634172638744,0.053149496425567,0.003,0,0,0.003
21.1,0.1,0.00828250113868,-0.077000571713868,0.003,0,0,0.003
21.2,0.1,0.076778131781638,0.01347476990287,0.003,0,0,0.003
21.3,0.1,0.017906946476333,0.006253859438707,0.003,0,0,0.003
21.4,0.1,0.059190679910834,0.00368788287677,0.003,0,0,0.003
21.5,0.1,0.028506646110569,-0.021184365037996,0.003,0,0,0.003
21.6,0.1,0.021913141390577,-0.031161838702973,0.003,0,0,0.003
21.7,0.1,-0.006643611194938,-0.008589835813096,0.003,0,0,0.003
21.8,0.1,0.075318470101221,-0.022888092463169,0.003,0,0,0.003
21.9,0.1,-0.035531072861005,-0.018137762144929,0.003,0,0,0.003
22,0.1,0.086163306960845,-0.016591021406177,0.003,0,0,0.003
22.1,0.1,0.070882740173782,0.04811157417513,0.003,0,0,0.003
22.2,0.1,-0.002704369305908,0.100936927510885,0.003,0,0,0.003
22.3,0.1,0.028457966600747,-0.032372646664629,0.003,0,0,0.003
22.4,0.1,0.045990982945229,-0.005075143077851,0.003,0,0,0.003
22.5,0.1,0.033167253561261,0.079601789188527,0.003,0,0,0.003
22.6,0.1,0.022920805397421,0.037587611957223,0.003,0,0,0.003
22.7,0.1,0.000450075776308,-0.072794097687414,0.003,0,0,0.003
22.8,0.1,0.058460821310296,-0.022009609137331,0.003,0,0,0.003
22.9,0.1,0.057323165747767,-0.052116603472099,0.003,0,0,0.003
23,0.1,0.101117612914902,0.015485703346496,0.003,0,0,0.003
23.1,0.1,0.068067502573499,-0.031747549153503,0.003,0,0,0.003
23.2,0.1,0.044176743166591,0.0100046677719,0.003,0,0,0.003
23.3,0.1,0.031402169615867,-0.04028075406384,0.003,0,0,0.003
23.4,0.1,0.041552761130822,-0.051117007519958,0.003,0,0,0.003
23.5,0.1,0.092290105517355,0.046179730277332,0.003,0,0,0.003
23.6,0.1,-0.097403319854742,0.032337289060005,0.003,0,0,0.003
23.7,0.1,0.035164426420068,-0.035691433663277,0.003,0,0,0.003
23.8,0.1,0.037383796256718,0.043792214565667,0.003,0,0,0.003
23.9,0.1,0.093928019711435,0.042343715497016,0.003,0,0,0.003
24,0.1,-0.019687508756349,0.031590106798832,0.003,0,0,0.003
24.1,0.1,0.018256743886848,-0.032465277938447,0.003,0,0,0.003
24.2,0.1,0.00332994625133,0.034140545660324,0.003,0,0,0.003
24.3,0.1,0.040274682126908,-0.007559882836263,0.003,0,0,0.003
24.4,0.1,0.037466642549124,-0.013138660399249,0.003,0,0,0.003
24.5,0.1,0.034992903161737,0.07436387166183,0.003,0,0,0.003
24.6,0.1,-0.032526707281917,-0.015086064514522,0.003,0,0,0.003
24.7,0.1,0.068888255483555,-0.046360521727034,0.003,0,0,0.003
24.8,0.1,-0.011251544708725,0.049928213370324,0.003,0,0,0.003
24.9,0.1,-0.004005855546477,-0.033327974819563,0.003,0,0,0.003
25,0.1,-0.051174657586156,0.057179669051744,0.003,0,0,0.003
25.1,0.1,0.038814468635162,-0.026318779600422,0.003,0,0,0.003
25.2,0.1,0.018534833025137,0.007681358930063,0.003,0,0,0.003
25.3,0.1,-0.019512708453937,0.04035940184335,0.003,0,0,0.003
25.4,0.1,-0.021010469737304,-0.082489107534645,0.003,0,0,0.003
25.5,0.1,-0.042237349890586,-0.043382558184521,0.003,0,0,0.003
25.6,0.1,0.084778175166333,0.031487803336334,0.003,0,0,0.003
25.7,0.1,0.015378193176825,-0.153300373103525,0.003,0,0,0.003
25.8,0.1,0.041935202180524,-0.016645606061437,0.003,0,0,0.003
25.9,0.1,-0.035690672889892,0.020361956442441,0.003,0,0,0.003
26,0.1,-0.024784796773254,-0.066717203997707,0.003,0,0,0.003
26.1,0.1,0.05373176144504,0.016682981210973,0.003,0,0,0.003
26.2,0.1,0.020675084383751,-0.040862013930932,0.003,0,0,0.003
26.3,0.1,0.102158349706688,0.027581665347879,0.003,0,0,0.003
26.4,0.1,0.022769276986086,-0.002354523628936,0.003,0,0,0.003
26.5,0.1,0.027194941410199,-0.016896069852459,0.003,0,0,0.003
26.6,0.1,-0.026077224700628,0.005715547379158,0.003,0,0,0.003
26.7,0.1,0.03499631830422,0.098149773924298,0.003,0,0,0.003
26.8,0.1,0.032895471303252,-0.071769479308941,0.003,0,0,0.003
26.9,0.1,-0.080649571192205,0.007996488916894,0.003,0,0,0.003
27,0.1,-0.018117800486643,0.004794909800471,0.003,0,0,0.003
27.1,0.1,0.050063005807983,-0.033164350401374,0.003,0,0,0.003
27.2,0.1,0.087711170543583,-0.142553728656998,0.003,0,0,0.003
27.3,0.1,0.083296031188818,0.039071991295892,0.003,0,0,0.003
27.4,0.1,0.075702627029369,0.008529626887035,0.003,0,0,0.003
27.5,0.1,0.071645563531959,-0.074204317669466,0.003,0,0,0.003
27.6,0.1,-0.011322747645549,-0.013338281008935,0.003,0,0,0.003
27.7,0.1,0.003067162591511,-0.02720350148256,0.003,0,0,0.003
27.8,0.1,0.124059493426986,-0.015080121242567,0.003,0,0,0.003
27.9,0.1,0.086057678541923,-0.066407737969252,0.003,0,0,0.003
28,0.1,0.061356400707094,-0.053052988264318,0.003,0,0,0.003
28.1,0.1,-0.068507411904447,-0.068917008622075,0.003,0,0,0.003
28.2,0.1,0.020397323306126,0.005039377968364,0.003,0,0,0.003
28.3,0.1,0.01615742793028,-0.052386349806936,0.003,0,0,0.003
28.4,0.1,0.050281658295937,0.013046518634826,0.003,0,0,0.003
28.5,0.1,0.061208760826558,0.049711780603702,0.003,0,0,0.003
28.6,0.1,0.042977978936003,-0.017592480177477,0.003,0,0,0.003
28.7,0.1,-0.072229143919279,0.028323513702763,0.003,0,0,0.003
28.8,0.1,-0.010867586141967,0.056152242022947,0.003,0,0,0.003
28.9,0.1,-0.010886215961298,-0.022253764990814,0.003,0,0,0.003
29,0.1,0.060759536837079,0.067080837387412,0.003,0,0,0.003
29.1,0.1,0.065167809833259,0.000576119171004,0.003,0,0,0.003
29.2,0.1,-0.000646780497239,-0.092039024711615,0.003,0,0,0.003
29.3,0.1,-0.034732019377015,0.06455885254296,0.003,0,0,0.003
29.4,0.1,-0.043129157073499,-0.028327550674986,0.003,0,0,0.003
29.5,0.1,-0.041205237425818,-0.037377813930729,0.003,0,0,0.003
29.6,0.1,0.039854500153209,0.082178662244514,0.003,0,0,0.003
29.7,0.1,0.00608464012398,-0.030198963585377,0.003,0,0,0.003
29.8,0.1,0.024014652141327,-0.017154610717494,0.003,0,0,0.003
29.9,0.1,0.072404252467803,0.053215356392934,0.003,0,0,0.003
30,0.1,0.080842865669096,0.02556629243649,0.003,0,0,0.003
30.1,0.1,0.075843933985452,0.023607912656487,0.003,0,0,0.003
30.2,0.1,-0.016028101250667,-0.014691325387646,0.003,0,0,0.003
30.3,0.1,-0.020440482806299,-0.072049905143984,0.003,0,0,0.003
30.4,0.1,0.111664140869661,0.094777023786007,0.003,0,0,0.003
30.5,0.1,0.051697312534026,0.010342069605895,0.003,0,0,0.003
30.6,0.1,-0.01643654315131,-0.063251078032058,0.003,0,0,0.003
30.7,0.1,0.041997166905056,0.003337581813209,0.003,0,0,0.003
30.8,0.1,0.098200164522058,0.00604009245329,0.003,0,0,0.003
30.9,0.1,-0.07465804494119,-0.005985619608739,0.003,0,0,0.003
31,0.1,0.003398418743267,0.096353891127058,0.003,0,0,0.003
31.1,0.1,0.047815338856897,-0.011253679296948,0.003,0,0,0.003
31.2,0.1,0.072492125421249,-0.038027130071722,0.003,0,0,0.003
31.3,0.1,0.098340152277517,0.020461292536606,0.003,0,0,0.003
31.4,0.1,0.065413274658729,0.028295858222677,0.003,0,0,0.003
31.5,0.1,-0.033918265068135,0.041932806261694,0.003,0,0,0.003
31.6,0.1,0.013498493505481,0.000397859057363,0.003,0,0,0.003
31.7,0.1,-0.060265569389178,0.072283763724783,0.003,0,0,0.003
31.8,0.1,-0.016906151918791,0.04618488569747,0.003,0,0,0.003
31.9,0.1,-0.062720992381028,-0.001665643386086,0.003,0,0,0.003
32,0.1,0.024139153220292,-0.01852554962032,0.003,0,0,0.003
32.1,0.1,-0.036500724420904,-0.078354825953193,0.003,0,0,0.003
32.2,0.1,0.064054049347675,-0.050259362538685,0.003,0,0,0.003
32.3,0.1,-0.00568051692112,0.018868388710571,0.003,0,0,0.003
32.4,0.1,-0.028591264459636,-0.04894220519341,0.003,0,0,0.003
32.5,0.1,-0.00178350934803,-0.004464762151863,0.003,0,0,0.003
32.6,0.1,0.012598434657912,0.052126837640737,0.003,0,0,0.003
32.7,0.1,-0.011438871893438,0.023329360015021,0.003,0,0,0.003
32.8,0.1,0.033935753703011,-0.047215795001497,0.003,0,0,0.003
32.9,0.1,-0.029119083541935,0.012972075695446,0.003,0,0,0.003
33,0.1,-0.003539014325588,-0.007669256976368,0.003,0,0,0.003
33.1,0.1,0.100562568266525,-0.039478786794582,0.003,0,0,0.003
33.2,0.1,-0.002131132617575,0.027182012250025,0.003,0,0,0.003
33.3,0.1,0.024683500974534,0.032209823721667,0.003,0,0,0.003
33.4,0.1,-0.114740638214072,0.08401464572796,0.003,0,0,0.003
33.5,0.1,0.048102789826693,-0.089382038532605,0.003,0,0,0.003
33.6,0.1,0.033567419446524,0.082361169190718,0.003,0,0,0.003
33.7,0.1,0.040307289454343,-0.056786660924225,0.003,0,0,0.003
33.8,0.1,-0.005128489159954,-0.015913793262162,0.003,0,0,0.003
33.9,0.1,-0.072200246288355,-0.083808883181044,0.003,0,0,0.003
34,0.1,-0.103135034960365,0.053752440747754,0.003,0,0,0.003
34.1,0.1,0.030296009277106,0.052765093495675,0.003,0,0,0.003
34.2,0.1,0.044106979153093,0.003040568518628,0.003,0,0,0.003
34.3,0.1,0.095156503521425,-0.019596522878873,0.003,0,0,0.003
34.4,0.1,0.035403544588775,-0.007623334873114,0.003,0,0,0.003
34.5,0.1,-0.049165323184992,0.033792091685089,0.003,0,0,0.003
34.6,0.1,0.02931735811122,-0.07142684611925,0.003,0,0,0.003
34.7,0.1,0.016463438547066,0.025878743475636,0.003,0,0,0.003
34.8,0.1,0.013427851689392,-0.04567582328454,0.003,0,0,0.003
34.9,0.1,0.034372000826506,0.020237512276696,0.003,0,0,0.003
35,0.1,-0.036594854774915,-0.014204072541901,0.003,0,0,0.003
35.1,0.1,0.061668905370937,-0.025773472615146,0.003,0,0,0.003
35.2,0.1,0.101279358282942,0.082926840606046,0.003,0,0,0.003
35.3,0.1,-0.010371692321676,-0.046316307523651,0.003,0,0,0.003
35.4,0.1,0.056768913726709,-0.052888365181319,0.003,0,0,0.003
35.5,0.1,-0.053390613000954,-0.040610168523547,0.003,0,0,0.003
35.6,0.1,0.097213030139329,0.021234934983779,0.003,0,0,0.003
35.7,0.1,-0.048146298466747,-0.034327577951285,0.003,0,0,0.003
35.8,0.1,-0.041947423959731,0.0487443843359,0.003,0,0,0.003
35.9,0.1,0.092465516839147,-0.019518766684615,0.003,0,0,0.003
36,0.1,0.047248274393973,-0.041189413064446,0.003,0,0,0.003
36.1,0.1,-0.001484598619782,0.05614125168634,0.003,0,0,0.003
36.2,0.1,-0.034261614357518,-0.012724437644737,0.003,0,0,0.003
36.3,0.1,-0.016829557670131,0.070957784527707,0.003,0,0,0.003
36.4,0.1,0.105395713279529,-0.037085887235407,0.003,0,0,0.003
36.5,0.1,-0.011478263007621,-0.008219925366986,0.003,0,0,0.003
36.6,0.1,0.091965750583782,0.012597177827366,0.003,0,0,0.003
36.7,0.1,0.052317039654652,-0.06174690608548,0.003,0,0,0.003
36.8,0.1,0.03713081412465,0.092744793676679,0.003,0,0,0.003
36.9,0.1,0.000415999849481,0.030138745001139,0.003,0,0,0.003
37,0.1,0.056112362588407,-0.064888012405188,0.003,0,0,0.003
37.1,0.1,0.063915126644563,-0.043051815273647,0.003,0,0,0.003
37.2,0.1,0.011598654513578,0.00620202396889,0.003,0,0,0.003
37.3,0.1,0.033513237639492,-0.015295045498491,0.003,0,0,0.003
37.4,0.1,0.002897954822434,0.020139641308767,0.003,0,0,0.003
37.5,0.1,0.1263050852879,-0.079733654392275,0.003,0,0,0.003
37.6,0.1,-0.070085652575534,-0.086107036575765,0.003,0,0,0.003
37.7,0.1,0.03058803753025,0.016550931997555,0.003,0,0,0.003
37.8,0.1,0.057375859172432,-0.136163129234348,0.003,0,0,0.003
37.9,0.1,-0.00881716634716,-0.041035911706034,0.003,0,0,0.003
38,0.1,-0.047127741523802,0.00571641335946,0.003,0,0,0.003
