#time (s),dt (s),v (m/s),w (rad/s),uvv,uvw,uwv,uww
5.2,0.1,-0.008026449862825,0.027358535453592,0.003,0,0,0.003
5.3,0.1,0.101962397930559,0.084282263361019,0.003,0,0,0.003
5.4,0.1,0.062708492169743,0.002574141296413,0.003,0,0,0.003
5.5,0.1,-0.025348967158538,0.08509336746662,0.003,0,0,0.003
5.6,0.1,0.04797326352856,0.060879382874342,0.003,0,0,0.003
5.7,0.1,-0.031694388326448,-0.020647486801659,0.003,0,0,0.003
5.8,0.1,0.046331316477604,0.026744662041503,0.003,0,0,0.003
5.9,0.1,0.0378426971355,0.103823370874521,0.003,0,0,0.003
6,0.1,0.000138904605366,0.009897198577443,0.003,0,0,0.003
6.1,0.1,0.089053017684965,0.049563745353276,0.003,0,0,0.003
6.2,0.1,-0.008648383953484,0.023564344196475,0.003,0,0,0.003
6.3,0.1,0.083128889783305,0.022266382358311,0.003,0,0,0.003
6.4,0.1,-0.04881499968458,0.037615382795583,0.003,0,0,0.003
6.5,0.1,-0.05181460696837,0.054070200866494,0.003,0,0,0.003
6.6,0.1,-0.028547329711044,0.011679352068221,0.003,0,0,0.003
6.7,0.1,0.156971604278248,-0.077152813904194,0.003,0,0,0.003
6.8,0.1,-0.052462011771755,-0.025618956517347,0.003,0,0,0.003
6.9,0.1,0.005175067110922,-0.061655219211757,0.003,0,0,0.003
7,0.1,-0.026610920047547,-0.081439897887021,0.003,0,0,0.003
7.1,0.1,0.011881767331167,-0.048097862427402,0.003,0,0,0.003
7.2,0.1,0.006156347957823,0.035298636312422,0.003,0,0,0.003
7.3,0.1,0.114803382369404,0.001008511327571,0.003,0,0,0.003
7.4,0.1,-0.016790322627374,0.006778537623377,0.003,0,0,0.003
7.5,0.1,0.026687455997311,-0.073510604302371,0.003,0,0,0.003
7.6,0.1,-0.110802607047632,0.02239428539976,0.003,0,0,0.003
7.7,0.1,0.048807509002799,0.042999217712163,0.003,0,0,0.003
7.8,0.1,0.035648714613653,0.104939778767541,0.003,0,0,0.003
7.9,0.1,0.109614221290593,-0.056104993819673,0.003,0,0,0.003
8,0.1,0.032913549394286,-0.104151844719938,0.003,0,0,0.003
8.1,0.1,0.032303623910436,0.006982148222131,0.003,0,0,0.003
8.2,0.1,0.072356748701074,-0.006450670558357,0.003,0,0,0.003
8.3,0.1,0.010419135796678,0.022145478172336,0.003,0,0,0.003
8.4,0.1,-0.020754681334859,-0.124510639862209,0.003,0,0,0.003
8.5,0.1,0.001386139954315,0.041660862705209,0.003,0,0,0.003
8.6,0.1,0.081313747326982,0.011038118377198,0.003,0,0,0.003
8.7,0.1,0.04042261703506,-0.070352478658883,0.003,0,0,0.003
8.8,0.1,0.039841159497755,0.010092782168533,0.003,0,0,0.003
8.9,0.1,0.068520516827925,0.086014491267054,0.003,0,0,0.003
9,0.1,0.019028651919262,0.086563277058364,0.003,0,0,0.003
9.1,0.1,-0.0026894003488,-0.057130847033787,0.003,0,0,0.003
9.2,0.1,0.061365596516283,-0.004328846543478,0.003,0,0,0.003
9.3,0.1,-0.029635181172731,0.057875290450586,0.003,0,0,0.003
9.4,0.1,0.013193121625151,-0.053555453714566,0.003,0,0,0.003
9.5,0.1,0.054070929114867,-0.01100510572532,0.003,0,0,0.003
9.6,0.1,-0.004631505425203,-0.070440021505342,0.003,0,0,0.003
9.7,0.1,0.08630794122716,0.002663267220352,0.003,0,0,0.003
9.8,0.1,-0.005537633653573,-0.02609268240045,0.003,0,0,0.003
9.9,0.1,0.082176712955659,0.140351132444922,0.003,0,0,0.003
10,0.1,0.063804463529039,0.122278048532775,0.003,0,0,0.003
10.1,0.1,-0.000900168418175,-0.052089873513409,0.003,0,0,0.003
10.2,0.1,0.105697330128764,0.007815059688107,0.003,0,0,0.003
10.3,0.1,0.000610755102992,-0.023662302935048,0.003,0,0,0.003
10.4,0.1,0.040851262150573,0.020404858070178,0.003,0,0,0.003
10.5,0.1,-0.05647202968785,-0.010038232842322,0.003,0,0,0.003
10.6,0.1,-0.08672453783435,-0.003786749553901,0.003,0,0,0.003
10.7,0.1,0.003889914326066,-0.097199717634448,0.003,0,0,0.003
10.8,0.1,0.029933061147651,0.022906220639113,0.003,0,0,0.003
10.9,0.1,0.018275223834923,0.027711681977576,0.003,0,0,0.003
11,0.1,0.066773784552508,-0.01721260936898,0.003,0,0,0.003
11.1,0.1,-0.043799633330391,-0.045023741065044,0.003,0,0,0.003
11.2,0.1,0.023997466522106,0.10469454445968,0.003,0,0,0.003
11.3,0.1,0.087456528033448,0.089797376374618,0.003,0,0,0.003
11.4,0.1,0.029903761464489,0.017293576712224,0.003,0,0,0.003
11.5,0.1,0.025473936026963,-0.019530387393247,0.003,0,0,0.003
11.6,0.1,0.014418075678589,0.020654906434958,0.003,0,0,0.003
11.7,0.1,0.052420925898033,0.007954132116806,0.003,0,0,0.003
11.8,0.1,-0.050903450370963,0.062235301948457,0.003,0,0,0.003
11.9,0.1,0.0859516615044,0.019614482285592,0.003,0,0,0.003
12,0.1,0.07143230969595,-0.089377038165822,0.003,0,0,0.003
12.1,0.1,-0.038238383708375,-0.090822687419199,0.003,0,0,0.003
12.2,0.1,-0.033177034660506,0.011784131386985,0.003,0,0,0.003
12.3,0.1,-0.01856961141121,-0.035751532813885,0.003,0,0,0.003
12.4,0.1,0.042108893114893,-0.042876110471645,0.003,0,0,0.003
12.5,0.1,0.035439947408514,-0.004017591025665,0.003,0,0,0.003
12.6,0.1,0.031629973700698,-0.021099235466822,0.003,0,0,0.003
12.7,0.1,0.02729602970925,-0.128292254834097,0.003,0,0,0.003
12.8,0.1,0.081656190333157,-0.090218986695522,0.003,0,0,0.003
12.9,0.1,-0.006851302218479,-0.016320176059399,0.003,0,0,0.003
13,0.1,-0.047824875822284,-0.064462235524502,0.003,0,0,0.003
13.1,0.1,-0.044436545903122,-0.053752383578779,0.003,0,0,0.003
13.2,0.1,0.043389350664736,-0.025553384376042,0.003,0,0,0.003
13.3,0.1,0.116498027451464,-0.018219115262326,0.003,0,0,0.003
13.4,0.1,-0.061903073041467,-0.059036792067924,0.003,0,0,0.003
13.5,0.1,-0.05363703696184,-0.034899264787517,0.003,0,0,0.003
13.6,0.1,0.013901349096174,-0.038249288220069,0.003,0,0,0.003
13.7,0.1,0.09576545841035,0.002660239425434,0.003,0,0,0.003
13.8,0.1,0.045130426845666,0.037118760331341,0.003,0,0,0.003
13.9,0.1,0.013133382450226,0.035598820036496,0.003,0,0,0.003
14,0.1,0.061922352107036,0.024606360842102,0.003,0,0,0.003
14.1,0.1,0.117029844150578,0.024034555040411,0.003,0,0,0.003
14.2,0.1,0.006718834445382,0.03737544437142,0.003,0,0,0.003
14.3,0.1,-0.043286921148285,0.004678897367494,0.003,0,0,0.003
14.4,0.1,0.08947389751834,-0.086017489641581,0.003,0,0,0.003
14.5,0.1,-0.034494598816531,0.069220692679088,0.003,0,0,0.003
14.6,0.1,0.047296919984326,0.083641351387161,0.003,0,0,0.003
14.7,0.1,0.031565297997719,0.068309588904757,0.003,0,0,0.003
14.8,0.1,0.071688372645898,0.008131594268658,0.003,0,0,0.003
14.9,0.1,0.06806975317586,0.029457340832874,0.003,0,0,0.003
15,0.1,0.066415253447294,-0.011350465007626,0.003,0,0,0.003
15.1,0.1,0.089576359397264,0.009009545384825,0.003,0,0,0.003
15.2,0.1,0.052499933335922,-0.02024303795952,0.003,0,0,0.003
15.3,0.1,0.077674823978557,0.049232837034306,0.003,0,0,0.003
15.4,0.1,-0.048947143805118,0.030317880028072,0.003,0,0,0.003
15.5,0.1,0.032532845764064,0.049913992871709,0.003,0,0,0.003
15.6,0.1,-0.106335031442059,0.001953437220911,0.003,0,0,0.003
15.7,0.1,0.06873982365566,-0.04760436163418,0.003,0,0,0.003
15.8,0.1,0.082638244214949,0.030873416756199,0.003,0,0,0.003
15.9,0.1,-0.004548464642992,-0.029496239563083,0.003,0,0,0.003
16,0.1,-0.037241042816915,-0.062278973915474,0.003,0,0,0.003
16.1,0.1,0.006454498555858,-0.010058886741006,0.003,0,0,0.003
16.2,0.1,0.080940401088657,0.05056591132217,0.003,0,0,0.003
16.3,0.1,-0.042366504417635,-0.000288587610925,0.003,0,0,0.003
16.4,0.1,-0.04044639653497,-0.055964591978211,0.003,0,0,0.003
16.5,0.1,0.059311255320408,0.053356966458661,0.003,0,0,0.003
16.6,0.1,-0.001359491499921,0.048121354554227,0.003,0,0,0.003
16.7,0.1,0.046957080993701,-0.020013165146923,0.003,0,0,0.003
16.8,0.1,-0.094924627256424,-0.027718161430332,0.003,0,0,0.003
16.9,0.1,-0.051899344780708,0.013826543001224,0.003,0,0,0.003
17,0.1,-0.023742989216289,-0.018407821068811,0.003,0,0,0.003
17.1,0.1,-0.043935843514022,-0.136721438910777,0.003,0,0,0.003
17.2,0.1,-0.000648351352259,-0.089776393580634,0.003,0,0,0.003
17.3,0.1,0.007983930137949,0.026055482661929,0.003,0,0,0.003
17.4,0.1,0.0366193774165,-0.106074496115686,0.003,0,0,0.003
17.5,0.1,0.061305741202099,0.101179383668912,0.003,0,0,0.003
17.6,0.1,0.032791484495937,0.087314366235694,0.003,0,0,0.003
17.7,0.1,-0.020828214272442,0.1312842699088,0.003,0,0,0.003
17.8,0.1,0.086200496182835,0.01038429659366,0.003,0,0,0.003
17.9,0.1,0.071734603922126,-0.0833930070662,0.003,0,0,0.003
18,0.1,0.054458413236686,0.011445706332604,0.003,0,0,0.003
18.1,0.1,-0.102333649974185,0.149636968782589,0.003,0,0,0.003
18.2,0.1,-0.018441437553497,-0.065132446586432,0.003,0,0,0.003
18.3,0.1,0.005705488338635,0.039442714232748,0.003,0,0,0.003
18.4,0.1,-0.033331574719363,-0.040290027635754,0.003,0,0,0.003
18.5,0.1,-0.009338289558924,-0.002047720388767,0.003,0,0,0.003
18.6,0.1,0.096258743251071,0.113595100909207,0.003,0,0,0.003
18.7,0.1,0.059513688231377,0.008492721884989,0.003,0,0,0.003
18.8,0.1,0.017765943702192,-0.097724690114169,0.003,0,0,0.003
18.9,0.1,0.042244354776905,-0.012331930453102,0.003,0,0,0.003
19,0.1,0.027422387438663,0.065697293198871,0.003,0,0,0.003
19.1,0.1,-0.071255683520608,0.0047712080154,0.003,0,0,0.003
19.2,0.1,-0.053035298956386,0.005702506188688,0.003,0,0,0.003
19.3,0.1,0.055844867259681,-0.068414592668412,0.003,0,0,0.003
19.4,0.1,0.088863530158026,0.019575926666069,0.003,0,0,0.003
19.5,0.1,-0.00417689635688,-0.004152759273332,0.003,0,0,0.003
19.6,0.1,0.096128509977825,-0.042103089280621,0.003,0,0,0.003
19.7,0.1,-0.080729315100879,-0.004965049186083,0.003,0,0,0.003
19.8,0.1,0.047999365791423,0.038250899766278,0.003,0,0,0.003
19.9,0.1,-0.029474296045201,-0.058035111165493,0.003,0,0,0.003
20,0.1,0.006735833943934,-0.09724497133606,0.003,0,0,0.003
20.1,0.1,0.046933813404912,0.03256891499272,0.003,0,0,0.003
20.2,0.1,-0.053211770123403,0.086811626507783,0.003,0,0,0.003
20.3,0.1,0.03017222805892,-0.102745874312018,0.003,0,0,0.003
20.4,0.1,-0.046758436057551,0.043070666251153,0.003,0,0,0.003
20.5,0.1,0.060274738179622,-0.044491720340825,0.003,0,0,0.003
20.6,0.1,-0.032586708106599,0.056890097390925,0.003,0,0,0.003
20.7,0.1,0.039182938077979,0.084949062545394,0.003,0,0,0.003
20.8,0.1,0.058136444842574,-0.005434741836881,0.003,0,0,0.003
20.9,0.1,0.031190431852642,-0.023448376568417,0.003,0,0,0.003
21,0.1,0.025771554930862,-0.035178311766507,0.003,0,0,0.003
21.1,0.1,0.033988663658514,-0.048186928778385,0.003,0,0,0.003
21.2,0.1,0.01993901180434,-0.008758670359831,0.003,0,0,0.003
21.3,0.1,0.028396645506545,-0.075172264558539,0.003,0,0,0.003
21.4,0.1,0.127712784873269,-0.002226969780875,0.003,0,0,0.003
21.5,0.1,0.0278562665142,0.003791420334373,0.003,0,0,0.003
21.6,0.1,0.003181993490693,0.10662478934086,0.003,0,0,0.003
21.7,0.1,0.056792986904412,-0.019342718773069,0.003,0,0,0.003
21.8,0.1,-0.035132812233147,-0.001395924774026,0.003,0,0,0.003
21.9,0.1,0.092669560253738,-0.040683723090434,0.003,0,0,0.003
22,0.1,0.06883584454222,0.01990141772858,0.003,0,0,0.003
22.1,0.1,0.021345305742382,-0.031381712791534,0.003,0,0,0.003
22.2,0.1,0.059625322536685,0.063798044048008,0.003,0,0,0.003
22.3,0.1,0.030930489398281,0.064385628902384,0.003,0,0,0.003
22.4,0.1,-0.047638710537896,0.059548204316134,0.003,0,0,0.003
22.5,0.1,0.095231968831081,0.014037887959929,0.003,0,0,0.003
22.6,0.1,-0.010020560762974,0.104142517212411,0.003,0,0,0.003
22.7,0.1,0.058640599180039,-0.033365838689659,0.003,0,0,0.003
22.8,0.1,0.059050066509428,0.071799173346528,0.003,0,0,0.003
22.9,0.1,0.0305396430692,-0.030675980490508,0.003,0,0,0.003
23,0.1,-0.004855966126654,-0.021541304702489,0.003,0,0,0.003
23.1,0.1,0.078608715978995,-0.060823465443241,0.003,0,0,0.003
23.2,0.1,0.095610551029045,0.011183820632371,0.003,0,0,0.003
23.3,0.1,-0.016437153163508,-0.070668362329845,0.003,0,0,0.003
23.4,0.1,-0.028061398743926,0.033910912867307,0.003,0,0,0.003
23.5,0.1,0.047558314112296,0.032409615094402,0.003,0,0,0.003
23.6,0.1,-0.010062395211377,-0.050904579277381,0.003,0,0,0.003
23.7,0.1,0.013375491546372,-0.000104021788146,0.003,0,0,0.003
23.8,0.1,-0.069915473504887,0.053916701367081,0.003,0,0,0.003
23.9,0.1,-0.078958434782652,0.075213247311271,0.003,0,0,0.003
24,0.1,-0.025876701025516,0.022022341103441,0.003,0,0,0.003
24.1,0.1,0.012927999563943,0.011458515102175,0.003,0,0,0.003
24.2,0.1,0.068728828006328,0.003244642098918,0.003,0,0,0.003
24.3,0.1,0.090707079784497,-0.025392690822755,0.003,0,0,0.003
24.4,0.1,-0.078920103327219,-0.030942670269559,0.003,0,0,0.003
24.5,0.1,-0.011953779142081,0.019737685238942,0.003,0,0,0.003
24.6,0.1,-0.002327228547925,0.043750199215835,0.003,0,0,0.003
24.7,0.1,-0.03244510929662,-0.058406425293405,0.003,0,0,0.003
24.8,0.1,-0.041204315913978,-0.010269350185802,0.003,0,0,0.003
24.9,0.1,-0.019433926729415,0.02551874464719,0.003,0,0,0.003
25,0.1,-0.034771020691282,0.040830826846282,0.003,0,0,0.003
25.1,0.1,0.002811061239941,0.048547754879019,0.003,0,0,0.003
25.2,0.1,0.017550305604448,0.037441294436538,0.003,0,0,0.003
25.3,0.1,0.012221564445147,0.077165400882895,0.003,0,0,0.003
25.4,0.1,0.018428788889712,-0.126732931184961,0.003,0,0,0.003
25.5,0.1,0.010500613307838,0.032824241141914,0.003,0,0,0.003
25.6,0.1,0.063811674026733,0.083266922881538,0.003,0,0,0.003
25.7,0.1,-0.029562229136568,-0.010282539840241,0.003,0,0,0.003
25.8,0.1,-0.078363354385746,-0.086120097717713,0.003,0,0,0.003
25.9,0.1,0.061809453367357,0.019217233673831,0.003,0,0,0.003
26,0.1,0.039111820044282,-0.051827165140674,0.003,0,0,0.003
26.1,0.1,0.063956852560121,-0.071522583591888,0.003,0,0,0.003
26.2,0.1,0.074255667282704,-0.044142929501982,0.003,0,0,0.003
26.3,0.1,-0.006532854866136,0.022305851803921,0.003,0,0,0.003
26.4,0.1,0.067594568488291,0.002841223055495,0.003,0,0,0.003
26.5,0.1,0.077961628284304,-0.026457223022169,0.003,0,0,0.003
26.6,0.1,0.108075885218738,0.005605952601589,0.003,0,0,0.003
26.7,0.1,0.038133008027706,0.025545756258331,0.003,0,0,0.003
26.8,0.1,-0.044967064995241,0.022636338417217,0.003,0,0,0.003
26.9,0.1,0.015212470887634,-0.060545263749589,0.003,0,0,0.003
27,0.1,-0.059303945152597,0.054971204829386,0.003,0,0,0.003
27.1,0.1,0.051611511381864,0.038079159492641,0.003,0,0,0.003
27.2,0.1,0.067949644275342,-0.032145532596431,0.003,0,0,0.003
27.3,0.1,-0.030541816815192,-0.052258933361475,0.003,0,0,0.003
27.4,0.1,0.032551542914189,0.085579184373132,0.003,0,0,0.003
27.5,0.1,-0.042849731472161,-0.023951463669178,0.003,0,0,0.003
27.6,0.1,-0.049885879474772,0.070057568186455,0.003,0,0,0.003
27.7,0.1,0.021133161396834,-0.021040720613525,0.003,0,0,0.003
27.8,0.1,0.021614816163094,-0.02483576136828,0.003,0,0,0.003
27.9,0.1,-0.023712866543476,-0.039503813842624,0.003,0,0,0.003
28,0.1,-0.030558822848794,0.031221960495469,0.003,0,0,0.003
28.1,0.1,-0.031804631817554,0.003486413470204,0.003,0,0,0.003
28.2,0.1,0.030491305469737,0.073712575536314,0.003,0,0,0.003
28.3,0.1,-0.018406667452444,-0.039281062756952,0.003,0,0,0.003
28.4,0.1,0.069190255604587,-0.026088268996144,0.003,0,0,0.003
28.5,0.1,0.001886889638641,0.05280609616409,0.003,0,0,0.003
28.6,0.1,0.04417940836358,0.013595435365807,0.003,0,0,0.003
28.7,0.1,0.032872579267802,0.060606075615685,0.003,0,0,0.003
28.8,0.1,-0.01896660583984,-0.001981701782085,0.003,0,0,0.003
28.9,0.1,-0.010037527138363,0.10293601020733,0.003,0,0,0.003
29,0.1,-0.046309678942146,-0.028471214837118,0.003,0,0,0.003
29.1,0.1,-0.071652203863914,-0.022357750802823,0.003,0,0,0.003
29.2,0.1,-0.025343070622,0.009742636008164,0.003,0,0,0.003
29.3,0.1,-0.003997466129625,0.086265546714294,0.003,0,0,0.003
29.4,0.1,0.05215905946401,0.017811302881671,0.003,0,0,0.003
29.5,0.1,0.001048478815696,0.036009968488802,0.003,0,0,0.003
29.6,0.1,0.006696328228124,-0.062353341906483,0.003,0,0,0.003
29.7,0.1,0.002549257701955,0.010132556541932,0.003,0,0,0.003
29.8,0.1,0.087480261668043,0.091068361490041,0.003,0,0,0.003
29.9,0.1,0.056362017953109,0.036205871665907,0.003,0,0,0.003
30,0.1,0.093531916403284,-0.01614305486711,0.003,0,0,0.003
30.1,0.1,0.036516227863956,0.016258206915558,0.003,0,0,0.003
30.2,0.1,-0.002897363272043,0.088602399235501,0.003,0,0,0.003
30.3,0.1,0.073864406444077,0.033800524606989,0.003,0,0,0.003
30.4,0.1,-0.035318106085445,-0.036228603664147,0.003,0,0,0.003
30.5,0.1,0.094537270119203,0.037505239190792,0.003,0,0,0.003
30.6,0.1,0.053839166021811,0.017075853438626,0.003,0,0,0.003
30.7,0.1,-0.025040065746164,0.033730407053606,0.003,0,0,0.003
30.8,0.1,0.027705310123791,0.034443220654529,0.003,0,0,0.003
30.9,0.1,0.037858890330708,0.13240633668557,0.003,0,0,0.003
31,0.1,-0.054455949230911,0.002553520747444,0.003,0,0,0.003
31.1,0.1,0.068502906182466,0.085905522423642,0.003,0,0,0.003
31.2,0.1,-0.005887045924013,-0.066914686064306,0.003,0,0,0.003
31.3,0.1,0.040314675011018,-0.004846389280965,0.003,0,0,0.003
31.4,0.1,0.039686331962614,-0.076626440329957,0.003,0,0,0.003
31.5,0.1,-0.07274401656124,-0.018014244496194,0.003,0,0,0.003
31.6,0.1,-0.076428836940583,-0.118115967118775,0.003,0,0,0.003
31.7,0.1,-0.001972808116421,-0.00589793394191,0.003,0,0,0.003
31.8,0.1,-0.000824207615563,0.021548454645035,0.003,0,0,0.003
31.9,0.1,0.075177409418328,0.064140075813646,0.003,0,0,0.003
32,0.1,-0.001894439804348,0.030869630675266,0.003,0,0,0.003
32.1,0.1,-0.048426085322997,-0.049556097668156,0.003,0,0,0.003
32.2,0.1,-0.002639797951505,0.020343178834494,0.003,0,0,0.003
32.3,0.1,-0.030251569950287,0.005962827795319,0.003,0,0,0.003
32.4,0.1,0.091467024723723,-0.022991617284153,0.003,0,0,0.003
32.5,0.1,0.134476236912477,-0.057301434537115,0.003,0,0,0.003
32.6,0.1,0.037673591890258,-0.012454530651277,0.003,0,0,0.003
32.7,0.1,0.167965668694004,-0.01106796588228,0.003,0,0,0.003
32.8,0.1,0.028599509666752,0.05599830156936,0.003,0,0,0.003
32.9,0.1,-0.000610246150682,-0.056208937116801,0.003,0,0,0.003
33,0.1,0.045115098613266,-0.013417806653282,0.003,0,0,0.003
33.1,0.1,0.02592626123143,-0.04013668504382,0.003,0,0,0.003
33.2,0.1,0.056502838611952,-0.004662698739943,0.003,0,0,0.003
33.3,0.1,0.05913352577999,-0.001395908803841,0.003,0,0,0.003
33.4,0.1,0.097441980174154,-0.041653498206557,0.003,0,0,0.003
33.5,0.1,0.054995042327148,-0.089489954342003,0.003,0,0,0.003
33.6,0.1,0.058131392072994,0.076222338799834,0.003,0,0,0.003
33.7,0.1,0.037039717669868,0.014107233294681,0.003,0,0,0.003
33.8,0.1,0.062901664773359,-0.035250093744793,0.003,0,0,0.003
33.9,0.1,0.096226868517259,-0.050071066628238,0.003,0,0,0.003
34,0.1,-0.027571944600535,0.049186029960289,0.003,0,0,0.003
34.1,0.1,0.069548446781138,0.014453237544854,0.003,0,0,0.003
34.2,0.1,-0.058872912784118,0.002347877145053,0.003,0,0,0.003
34.3,0.1,-0.025688007056871,0.032808357577605,0.003,0,0,0.003
34.4,0.1,0.075263963280474,0.085806759707517,0.003,0,0,0.003
34.5,0.1,0.047257107094949,-0.012161767630636,0.003,0,0,0.003
34.6,0.1,-0.019913122956194,-0.049622023209336,0.003,0,0,0.003
34.7,0.1,0.064013974630863,0.017135878227546,0.003,0,0,0.003
34.8,0.1,0.05437400552154,-0.010479247800552,0.003,0,0,0.003
34.9,0.1,0.065806870794228,-0.016278245121563,0.003,0,0,0.003
35,0.1,0.059093566033467,-0.00943723381064,0.003,0,0,0.003
35.1,0.1,-0.002975162651477,-0.093564017942765,0.003,0,0,0.003
35.2,0.1,-0.018749371941589,0.074682293611175,0.003,0,0,0.003
35.3,0.1,-0.031170434829562,-0.00199436533735,0.003,0,0,0.003
35.4,0.1,0.0122245610539,-0.004937449233404,0.003,0,0,0.003
35.5,0.1,0.088739648573482,-0.026762058231577,0.003,0,0,0.003
35.6,0.1,0.100296917030508,-0.008727547189571,0.003,0,0,0.003
35.7,0.1,0.046655588161452,-0.054816142388782,0.003,0,0,0.003
35.8,0.1,0.019736674971957,-0.067585884801851,0.003,0,0,0.003
35.9,0.1,0.000652152390499,-0.014604596468263,0.003,0,0,0.003
36,0.1,-0.014263863729939,-0.16264591481152,0.003,0,0,0.003
36.1,0.1,0.135826240166183,-0.018445139949034,0.003,0,0,0.003
36.2,0.1,-0.007917590131177,0.057817389827067,0.003,0,0,0.003
36.3,0.1,0.060629479315787,-0.033338788316598,0.003,0,0,0.003
36.4,0.1,-0.009442006967223,0.025957083172191,0.003,0,0,0.003
36.5,0.1,0.042695052803292,-0.009913287952407,0.003,0,0,0.003
36.6,0.1,0.035422492091838,-0.049420262656997,0.003,0,0,0.003
36.7,0.1,-0.046644278565639,0.001227980760358,0.003,0,0,0.003
36.8,0.1,-0.000427636927312,0.083125824615936,0.003,0,0,0.003
36.9,0.1,0.077518042754662,0.061812180607661,0.003,0,0,0.003
37,0.1,-0.012295522184921,0.066465458920174,0.003,0,0,0.003
37.1,0.1,-0.018969065611941,-0.084905284407328,0.003,0,0,0.003
37.2,0.1,0.070009093791246,0.001336277721896,0.003,0,0,0.003
37.3,0.1,-0.022218416127541,0.005095015486009,0.003,0,0,0.003
37.4,0.1,0.015670022880972,0.031173261029365,0.003,0,0,0.003
37.5,0.1,-0.008578759583382,-0.022628958635789,0.003,0,0,0.003
37.6,0.1,0.038417462068493,0.010417620386761,0.003,0,0,0.003
37.7,0.1,-0.021237505026613,-0.097456580445866,0.003,0,0,0.003
37.8,0.1,-0.071974346555431,-0.046666011520567,0.003,0,0,0.003
37.9,0.1,-0.082101216182929,-0.059330885011609,0.003,0,0,0.003
